role,macro_role,nazionality,rank,counter
AM,Centrocampista,Belgio,3rd,1
AM,Centrocampista,Brasile,1st,2
AM,Centrocampista,Finlandia,3rd,1
AM,Centrocampista,Francia,1st,4
AM,Centrocampista,Francia,2nd,2
AM,Centrocampista,Francia,3rd,3
AM,Centrocampista,Germania,2nd,1
AM,Centrocampista,Germania,3rd,3
AM,Centrocampista,Inghilterra,1st,1
AM,Centrocampista,Inghilterra,2nd,2
AM,Centrocampista,Inghilterra,3rd,1
AM,Centrocampista,Italia,1st,1
AM,Centrocampista,Italia,2nd,1
AM,Centrocampista,Montenegro,2nd,1
AM,Centrocampista,Olanda,1st,4
AM,Centrocampista,Olanda,2nd,1
AM,Centrocampista,Olanda,3rd,1
AM,Centrocampista,Polonia,3rd,2
AM,Centrocampista,Portogallo,2nd,1
CB,Difensore,Inghilterra,2nd,2
CB,Difensore,Italia,1st,1
CB,Difensore,Olanda,2nd,1
CB,Difensore,Spagna,2nd,1
CF,Attaccante,Austria,2nd,1
CF,Attaccante,Croazia,2nd,1
CF,Attaccante,Danimarca,2nd,1
CF,Attaccante,Danimarca,3rd,1
CF,Attaccante,Francia,1st,2
CF,Attaccante,Francia,2nd,1
CF,Attaccante,Francia,3rd,5
CF,Attaccante,Germania,1st,3
CF,Attaccante,Germania,2nd,3
CF,Attaccante,Germania,3rd,3
CF,Attaccante,Inghilterra,1st,3
CF,Attaccante,Inghilterra,2nd,2
CF,Attaccante,Inghilterra,3rd,2
CF,Attaccante,Italia,1st,1
CF,Attaccante,Italia,2nd,2
CF,Attaccante,Italia,3rd,1
CF,Attaccante,Liberia,1st,1
CF,Attaccante,Macedonia del Nord,3rd,1
CF,Attaccante,Montenegro,2nd,1
CF,Attaccante,Norvegia,2nd,1
CF,Attaccante,Olanda,1st,3
CF,Attaccante,Polonia,2nd,1
CF,Attaccante,Portogallo,1st,7
CF,Attaccante,Portogallo,2nd,7
CF,Attaccante,Portogallo,3rd,2
CF,Attaccante,Scozia,1st,1
CF,Attaccante,Spagna,1st,1
CF,Attaccante,Spagna,2nd,2
CF,Attaccante,Spagna,3rd,4
CF,Attaccante,Ucraina,1st,2
CF,Attaccante,Ucraina,3rd,2
CF,Attaccante,Ungheria,1st,1
CF,Attaccante,Ungheria,2nd,1
CM,Centrocampista,Croazia,1st,1
CM,Centrocampista,Francia,2nd,1
CM,Centrocampista,Inghilterra,2nd,2
CM,Centrocampista,Inghilterra,3rd,1
CM,Centrocampista,Repubblica Ceca,1st,1
CM,Centrocampista,Spagna,2nd,1
CM,Centrocampista,Spagna,3rd,4
DM,Difensore,Germania,1st,1
DM,Difensore,Italia,3rd,1
DM,Difensore,Olanda,3rd,2
DM,Difensore,Spagna,1st,1
Defender,Difensore,Portogallo,1st,1
Defender,Difensore,Portogallo,2nd,2
GK,Portiere,Germania,3rd,3
GK,Portiere,Italia,2nd,2
GK,Portiere,Repubblica Ceca,3rd,1
GK,Portiere,Russia,1st,1
LB,Difensore,Brasile,2nd,1
LB,Difensore,Germania,2nd,1
LB,Difensore,Germania,3rd,2
LB,Difensore,Italia,2nd,1
LB,Difensore,Italia,3rd,2
LB,Difensore,Olanda,3rd,1
LM,Centrocampista,Inghilterra,3rd,1
LM,Centrocampista,Repubblica Ceca,1st,1
LW,Attaccante,Brasile,1st,1
LW,Attaccante,Brasile,2nd,1
LW,Attaccante,Brasile,3rd,3
LW,Attaccante,Bulgaria,1st,1
LW,Attaccante,Bulgaria,2nd,1
LW,Attaccante,Francia,3rd,1
LW,Attaccante,Olanda,2nd,1
LW,Attaccante,Olanda,3rd,1
LW,Attaccante,Portogallo,2nd,1
LW,Attaccante,Senegal,2nd,1
LW,Attaccante,Serbia,3rd,1
RB,Difensore,Inghilterra,3rd,1
RW,Attaccante,Argentina,1st,8
RW,Attaccante,Argentina,2nd,5
RW,Attaccante,Argentina,3rd,1
RW,Attaccante,Francia,1st,1
RW,Attaccante,Francia,2nd,1
RW,Attaccante,Francia,3rd,1
RW,Attaccante,Germania,2nd,1
RW,Attaccante,Inghilterra,1st,1
RW,Attaccante,Irlanda del Nord,1st,1
RW,Attaccante,Irlanda del Nord,3rd,1
RW,Attaccante,Portogallo,1st,1
RW,Attaccante,Scozia,3rd,1
RW,Attaccante,Spagna,3rd,1
SS,Attaccante,Danimarca,1st,1
SS,Attaccante,Danimarca,3rd,1
SS,Attaccante,Francia,3rd,1
SS,Attaccante,Inghilterra,3rd,1
SS,Attaccante,Italia,1st,2
SS,Attaccante,Italia,2nd,2
SS,Attaccante,Olanda,2nd,1
SS,Attaccante,Olanda,3rd,1
SS,Attaccante,Scozia,2nd,1
SS,Attaccante,Spagna,1st,2
SS,Attaccante,Spagna,2nd,1
SS,Attaccante,Ucraina,1st,1
SW,Difensore,Germania,1st,3
SW,Difensore,Germania,2nd,2
SW,Difensore,Germania,3rd,1
SW,Difensore,Italia,2nd,1
